,coord1,coord2,volume,dii1,dii2,from,to
246,-63.5625,0.9375,3.515625,1159923.9513422174,1159923.9513422174,5663,5685
247,-63.5625,1.3125,3.515625,1159923.9513422174,1159923.9513422174,5685,5702
248,-63.1875,-1.3125,3.515625,1159923.9513422174,1159923.9513422174,5702,5719
249,-63.1875,-0.9375,3.515625,1159923.9513422174,1159923.9513422174,5719,5741
250,-63.1875,-0.5625,3.515625,1159923.9513422174,1159923.9513422174,5741,5768
251,-63.1875,-0.1875,3.515625,1159923.9513422174,1159923.9513422174,5768,5796
252,-63.1875,0.1875,3.515625,1159923.9513422174,1159923.9513422174,5796,5824
253,-63.1875,0.5625,3.515625,1159923.9513422174,1159923.9513422174,5824,5851
254,-63.1875,0.9375,3.515625,1159923.9513422174,1159923.9513422174,5851,5873
255,-63.1875,1.3125,3.515625,1159923.9513422174,1159923.9513422174,5873,5890
256,-62.8125,-1.3125,3.515625,1159923.9513422174,1159923.9513422174,5890,5907
257,-62.8125,-0.9375,3.515625,1159923.9513422174,1159923.9513422174,5907,5929
258,-62.8125,-0.5625,3.515625,1159923.9513422174,1159923.9513422174,5929,5956
259,-62.8125,-0.1875,3.515625,1159923.9513422174,1159923.9513422174,5956,5984
260,-62.8125,0.1875,3.515625,1159923.9513422174,1159923.9513422174,5984,6012
261,-62.8125,0.5625,3.515625,1159923.9513422174,1159923.9513422174,6012,6039
262,-62.8125,0.9375,3.515625,1159923.9513422174,1159923.9513422174,6039,6061
263,-62.8125,1.3125,3.515625,1159923.9513422174,1159923.9513422174,6061,6078
264,-62.4375,-1.3125,3.515625,1159923.9513422174,1159923.9513422174,6078,6095
265,-62.4375,-0.9375,3.515625,1159923.9513422174,1159923.9513422174,6095,6117
266,-62.4375,-0.5625,3.515625,1159923.9513422174,1159923.9513422174,6117,6144
267,-62.4375,-0.1875,3.515625,1159923.9513422174,1159923.9513422174,6144,6172
268,-62.4375,0.1875,3.515625,1159923.9513422174,1159923.9513422174,6172,6200
269,-62.4375,0.5625,3.515625,1159923.9513422174,1159923.9513422174,6200,6227
270,-62.4375,0.9375,3.515625,1159923.9513422174,1159923.9513422174,6227,6249
271,-62.4375,1.3125,3.515625,1159923.9513422174,1159923.9513422174,6249,6266
272,-62.0625,-1.3125,3.515625,1159923.9513422174,1159923.9513422174,6266,6283
273,-62.0625,-0.9375,3.515625,1159923.9513422174,1159923.9513422174,6283,6305
274,-62.0625,-0.5625,3.515625,1159923.9513422174,1159923.9513422174,6305,6332
275,-62.0625,-0.1875,3.515625,1159923.9513422174,1159923.9513422174,6332,6360
276,-62.0625,0.1875,3.515625,1159923.9513422174,1159923.9513422174,6360,6388
277,-62.0625,0.5625,3.515625,1159923.9513422174,1159923.9513422174,6388,6415
278,-62.0625,0.9375,3.515625,1159923.9513422174,1159923.9513422174,6415,6437
279,-62.0625,1.3125,3.515625,1159923.9513422174,1159923.9513422174,6437,6454
280,-61.6875,-1.3125,3.515625,1159923.9513422174,1159923.9513422174,6454,6471
281,-61.6875,-0.9375,3.515625,1159923.9513422174,1159923.9513422174,6471,6493
282,-61.6875,-0.5625,3.515625,1159923.9513422174,1159923.9513422174,6493,6520
283,-61.6875,-0.1875,3.515625,1159923.9513422174,1159923.9513422174,6520,6548
284,-61.6875,0.1875,3.515625,1159923.9513422174,1159923.9513422174,6548,6576
285,-61.6875,0.5625,3.515625,1159923.9513422174,1159923.9513422174,6576,6603
286,-61.6875,0.9375,3.515625,1159923.9513422174,1159923.9513422174,6603,6625
287,-61.6875,1.3125,3.515625,1159923.9513422174,1159923.9513422174,6625,6642
288,-61.3125,-1.3125,3.515625,1159923.9513422174,1159923.9513422174,6642,6659
289,-61.3125,-0.9375,3.515625,1159923.9513422174,1159923.9513422174,6659,6681
290,-61.3125,-0.5625,3.515625,1159923.9513422174,1159923.9513422174,6681,6708
291,-61.3125,-0.1875,3.515625,1159923.9513422174,1159923.9513422174,6708,6736
292,-61.3125,0.1875,3.515625,1159923.9513422174,1159923.9513422174,6736,6764
