,coord1,coord2,volume,dii1,dii2,from,to
977,6.25,1.25,6.25,652457.2226299973,652457.2226299973,21409,21426
978,6.75,-1.25,6.25,652457.2226299973,652457.2226299973,21426,21443
979,6.75,-0.75,6.25,652457.2226299973,652457.2226299973,21443,21465
980,6.75,-0.25,6.25,652457.2226299973,652457.2226299973,21465,21492
981,6.75,0.25,6.25,652457.2226299973,652457.2226299973,21492,21519
982,6.75,0.75,6.25,652457.2226299973,652457.2226299973,21519,21541
983,6.75,1.25,6.25,652457.2226299973,652457.2226299973,21541,21558
984,7.25,-1.25,6.25,652457.2226299973,652457.2226299973,21558,21575
985,7.25,-0.75,6.25,652457.2226299973,652457.2226299973,21575,21597
986,7.25,-0.25,6.25,652457.2226299973,652457.2226299973,21597,21624
987,7.25,0.25,6.25,652457.2226299973,652457.2226299973,21624,21651
988,7.25,0.75,6.25,652457.2226299973,652457.2226299973,21651,21673
989,7.25,1.25,6.25,652457.2226299973,652457.2226299973,21673,21690
990,7.75,-1.25,6.25,652457.2226299973,652457.2226299973,21690,21707
991,7.75,-0.75,6.25,652457.2226299973,652457.2226299973,21707,21729
992,7.75,-0.25,6.25,652457.2226299973,652457.2226299973,21729,21756
993,7.75,0.25,6.25,652457.2226299973,652457.2226299973,21756,21783
994,7.75,0.75,6.25,652457.2226299973,652457.2226299973,21783,21805
995,7.75,1.25,6.25,652457.2226299973,652457.2226299973,21805,21822
996,8.25,-1.25,6.25,652457.2226299973,652457.2226299973,21822,21839
997,8.25,-0.75,6.25,652457.2226299973,652457.2226299973,21839,21861
998,8.25,-0.25,6.25,652457.2226299973,652457.2226299973,21861,21888
999,8.25,0.25,6.25,652457.2226299973,652457.2226299973,21888,21915
1000,8.25,0.75,6.25,652457.2226299973,652457.2226299973,21915,21937
1001,8.25,1.25,6.25,652457.2226299973,652457.2226299973,21937,21954
1002,8.75,-1.25,6.25,652457.2226299973,652457.2226299973,21954,21971
1003,8.75,-0.75,6.25,652457.2226299973,652457.2226299973,21971,21993
1004,8.75,-0.25,6.25,652457.2226299973,652457.2226299973,21993,22020
1005,8.75,0.25,6.25,652457.2226299973,652457.2226299973,22020,22047
1006,8.75,0.75,6.25,652457.2226299973,652457.2226299973,22047,22069
1007,8.75,1.25,6.25,652457.2226299973,652457.2226299973,22069,22086
1008,9.25,-1.25,6.25,652457.2226299973,652457.2226299973,22086,22103
1009,9.25,-0.75,6.25,652457.2226299973,652457.2226299973,22103,22125
1010,9.25,-0.25,6.25,652457.2226299973,652457.2226299973,22125,22152
1011,9.25,0.25,6.25,652457.2226299973,652457.2226299973,22152,22179
1012,9.25,0.75,6.25,652457.2226299973,652457.2226299973,22179,22201
1013,9.25,1.25,6.25,652457.2226299973,652457.2226299973,22201,22218
1014,9.75,-1.25,6.25,652457.2226299973,652457.2226299973,22218,22235
1015,9.75,-0.75,6.25,652457.2226299973,652457.2226299973,22235,22257
1016,9.75,-0.25,6.25,652457.2226299973,652457.2226299973,22257,22284
1017,9.75,0.25,6.25,652457.2226299973,652457.2226299973,22284,22311
1018,9.75,0.75,6.25,652457.2226299973,652457.2226299973,22311,22333
1019,9.75,1.25,6.25,652457.2226299973,652457.2226299973,22333,22350
1020,10.25,-1.25,6.25,652457.2226299973,652457.2226299973,22350,22367
1021,10.25,-0.75,6.25,652457.2226299973,652457.2226299973,22367,22389
1022,10.25,-0.25,6.25,652457.2226299973,652457.2226299973,22389,22416
1023,10.25,0.25,6.25,652457.2226299973,652457.2226299973,22416,22443
1024,10.25,0.75,6.25,652457.2226299973,652457.2226299973,22443,22465
1025,10.25,1.25,6.25,652457.2226299973,652457.2226299973,22465,22482
1026,10.75,-1.25,6.25,652457.2226299973,652457.2226299973,22482,22499
1027,10.75,-0.75,6.25,652457.2226299973,652457.2226299973,22499,22521
1028,10.75,-0.25,6.25,652457.2226299973,652457.2226299973,22521,22548
1029,10.75,0.25,6.25,652457.2226299973,652457.2226299973,22548,22575
1030,10.75,0.75,6.25,652457.2226299973,652457.2226299973,22575,22597
1031,10.75,1.25,6.25,652457.2226299973,652457.2226299973,22597,22614
1032,11.25,-1.25,6.25,652457.2226299973,652457.2226299973,22614,22631
1033,11.25,-0.75,6.25,652457.2226299973,652457.2226299973,22631,22653
1034,11.25,-0.25,6.25,652457.2226299973,652457.2226299973,22653,22680
1035,11.25,0.25,6.25,652457.2226299973,652457.2226299973,22680,22707
1036,11.25,0.75,6.25,652457.2226299973,652457.2226299973,22707,22729
1037,11.25,1.25,6.25,652457.2226299973,652457.2226299973,22729,22746
1038,11.75,-1.25,6.25,652457.2226299973,652457.2226299973,22746,22763
1039,11.75,-0.75,6.25,652457.2226299973,652457.2226299973,22763,22785
1040,11.75,-0.25,6.25,652457.2226299973,652457.2226299973,22785,22812
1041,11.75,0.25,6.25,652457.2226299973,652457.2226299973,22812,22839
1042,11.75,0.75,6.25,652457.2226299973,652457.2226299973,22839,22861
1043,11.75,1.25,6.25,652457.2226299973,652457.2226299973,22861,22878
1044,12.25,-1.25,6.25,652457.2226299973,652457.2226299973,22878,22895
1045,12.25,-0.75,6.25,652457.2226299973,652457.2226299973,22895,22917
1046,12.25,-0.25,6.25,652457.2226299973,652457.2226299973,22917,22944
1047,12.25,0.25,6.25,652457.2226299973,652457.2226299973,22944,22971
1048,12.25,0.75,6.25,652457.2226299973,652457.2226299973,22971,22993
1049,12.25,1.25,6.25,652457.2226299973,652457.2226299973,22993,23010
1050,12.75,-1.25,6.25,652457.2226299973,652457.2226299973,23010,23027
1051,12.75,-0.75,6.25,652457.2226299973,652457.2226299973,23027,23049
1052,12.75,-0.25,6.25,652457.2226299973,652457.2226299973,23049,23076
1053,12.75,0.25,6.25,652457.2226299973,652457.2226299973,23076,23103
1054,12.75,0.75,6.25,652457.2226299973,652457.2226299973,23103,23125
1055,12.75,1.25,6.25,652457.2226299973,652457.2226299973,23125,23142
1056,13.25,-1.25,6.25,652457.2226299973,652457.2226299973,23142,23159
1057,13.25,-0.75,6.25,652457.2226299973,652457.2226299973,23159,23181
