,iter,cn
215,216,0.11433712926303612
216,217,0.1140350688836963
217,218,0.11373814849410557
218,219,0.11344627378429793
219,220,0.1131593520783222
220,221,0.11287729231469106
221,222,0.11260000502743034
222,223,0.11232740232811325
223,224,0.11205939788456983
224,225,0.11179590690129884
225,226,0.11153684609935768
226,227,0.11128213369735508
227,228,0.11103168938830292
228,229,0.11078543432053577
229,230,0.11054329107695064
230,231,0.11030518365351813
231,232,0.11007103743880875
232,233,0.10984077919137256
233,234,0.10961433702312044
234,235,0.1093916403710637
235,236,0.10917261998448118
236,237,0.10895720789686053
237,238,0.1087453374100069
238,239,0.1085369430712189
239,240,0.1083319606520055
240,241,0.1081303271300019
241,242,0.10793198066643818
242,243,0.10773686058604398
243,244,0.10754490735890268
244,245,0.10735606257680845
245,246,0.10717026893898901
