,coord1,coord2,volume,dii1,dii2,from,to
69,-69.25,0.25,6.25,453061.60785433976,49851.24168491167,1428,1455
70,-69.25,0.75,6.25,447318.41038308654,39229.65421248935,1455,1477
71,-69.25,1.25,6.25,435858.57917777234,25703.515078655357,1477,1494
72,-68.75,-1.25,6.25,435858.57917777234,25703.515078655357,1494,1511
73,-68.75,-0.75,6.25,447318.41038308654,39229.65421248935,1511,1533
74,-68.75,-0.25,6.25,453061.60785433976,49851.24168491167,1533,1560
75,-68.75,0.25,6.25,453061.60785433976,49851.24168491167,1560,1587
76,-68.75,0.75,6.25,447318.41038308654,39229.65421248935,1587,1609
77,-68.75,1.25,6.25,435858.57917777234,25703.515078655357,1609,1626
78,-68.25,-1.25,6.25,435858.57917777234,25703.515078655357,1626,1643
79,-68.25,-0.75,6.25,447318.41038308654,39229.65421248935,1643,1665
80,-68.25,-0.25,6.25,453061.60785433976,49851.24168491167,1665,1692
81,-68.25,0.25,6.25,453061.60785433976,49851.24168491167,1692,1719
82,-68.25,0.75,6.25,447318.41038308654,39229.65421248935,1719,1741
83,-68.25,1.25,6.25,435858.57917777234,25703.515078655357,1741,1758
84,-67.75,-1.25,6.25,435858.57917777234,25703.515078655357,1758,1775
85,-67.75,-0.75,6.25,447318.41038308654,39229.65421248935,1775,1797
86,-67.75,-0.25,6.25,453061.60785433976,49851.24168491167,1797,1824
87,-67.75,0.25,6.25,453061.60785433976,49851.24168491167,1824,1851
88,-67.75,0.75,6.25,447318.41038308654,39229.65421248935,1851,1873
89,-67.75,1.25,6.25,435858.57917777234,25703.515078655357,1873,1890
90,-67.25,-1.25,6.25,435858.57917777234,25703.515078655357,1890,1907
91,-67.25,-0.75,6.25,447318.41038308654,39229.65421248935,1907,1929
92,-67.25,-0.25,6.25,453061.60785433976,49851.24168491167,1929,1956
93,-67.25,0.25,6.25,453061.60785433976,49851.24168491167,1956,1983
94,-67.25,0.75,6.25,447318.41038308654,39229.65421248935,1983,2005
95,-67.25,1.25,6.25,435858.57917777234,25703.515078655357,2005,2022
96,-66.75,-1.25,6.25,435858.57917777234,25703.515078655357,2022,2039
97,-66.75,-0.75,6.25,447318.41038308654,39229.65421248935,2039,2061
98,-66.75,-0.25,6.25,453061.60785433976,49851.24168491167,2061,2088
99,-66.75,0.25,6.25,453061.60785433976,49851.24168491167,2088,2115
100,-66.75,0.75,6.25,447318.41038308654,39229.65421248935,2115,2137
101,-66.75,1.25,6.25,435858.57917777234,25703.515078655357,2137,2154
102,-66.25,-1.25,6.25,435858.57917777234,25703.515078655357,2154,2171
103,-66.25,-0.75,6.25,447318.41038308654,39229.65421248935,2171,2193
104,-66.25,-0.25,6.25,453061.60785433976,49851.24168491167,2193,2220
105,-66.25,0.25,6.25,453061.60785433976,49851.24168491167,2220,2247
106,-66.25,0.75,6.25,447318.41038308654,39229.65421248935,2247,2269
107,-66.25,1.25,6.25,435858.57917777234,25703.515078655357,2269,2286
